Species,Common Name
koreanum,Korean viburnum
opulus,European cranberry viburnum
sargentii,Sargent viburnum
trilobum,American cranberry viburnum
Pseudotinus Clade,
furcatum,Forked viburnum
lantanoides,American hobblebush
nervosum,Heartleaf viburnum
sympodiale,Japanese hobblebush
Urceolata Clade,
taiwanianum,Taiwan viburnum
urceolatum,Pot-flower viburnum
